symbol	kind	family	reference_source	audit_status	platform_partition	disposition	portable_equivalent	rationale
F0521_FLOPPY_GetIOError	F	FLOPPY	AMIGA.H:312	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0522_FLOPPY_SendDosPacket	F	FLOPPY	AMIGA.H:313	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0523_FLOPPY_InhibitFileSystem	F	FLOPPY	AMIGA.H:314	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0524_FLOPPY_OpenTrackdiskDevice	F	FLOPPY	AMIGA.H:315	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0525_FLOPPY_GetWriteProtectionState	F	FLOPPY	AMIGA.H:316	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0526_FLOPPY_DoTrackdiskDeviceIO	F	FLOPPY	AMIGA.H:318	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0529_FLOPPY_IsFloppyInDrive	F	FLOPPY	AMIGA.H:325	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0530_FLOPPY_DirectoryExists	F	FLOPPY	AMIGA.H:326	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0531_FLOPPY_CompareVolumeName	F	FLOPPY	AMIGA.H:327	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0532_FLOPPY_GetVolumeInfoData	F	FLOPPY	AMIGA.H:329	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0534_FLOPPY_GetFileSize	F	FLOPPY	AMIGA.H:335	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0535_MEMORY_GetGraphicsDatFileSize	F	MEMORY	AMIGA.H:336	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0537_INPUT_ReleaseResources	F	INPUT	AMIGA.H:338	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0544_INPUT_ResetPressingEyeOrMouth	F	INPUT	AMIGA.H:345	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0550_VIDEO_FillScreenBox	F	VIDEO	AMIGA.H:351	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0551_VIDEO_HatchBox_Unreferenced	F	VIDEO	AMIGA.H:352	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0552_BASE_DisplayError	F	BASE	AMIGA.H:353	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0557_SCROLLER_Initialize	F	SCROLLER	AMIGA.H:358	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0558_SCROLLER_CancelInitialize	F	SCROLLER	AMIGA.H:359	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0559_SCROLLER_Deinitialize	F	SCROLLER	AMIGA.H:360	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0562_SCROLLER_Task	F	SCROLLER	AMIGA.H:363	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0563_SCROLLER_UpdateMessageArea	F	SCROLLER	AMIGA.H:364	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F0567_COPYPROA_InitFloppyInterruptHandler_CPSX	F	COPYPROA	AMIGA.H:368	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
F0568_COPYPROA_CleanupFloppyInterruptHandler_CPSX	F	COPYPROA	AMIGA.H:369	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
F0569_COPYPROA_FloppyInterruptHandler_CPSX	F	COPYPROA	AMIGA.H:371	MISSING	exception-R/E/S	NON_APPLICABLE	-	Original exception/vector or assembly-stub entry; host scheduling and signal behavior cannot be substituted without an exact trace-backed contract.
F0571_COPYPROB_InitializeDiskChangeHandler_CPSX	F	COPYPROB	AMIGA.H:377	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0572_COPYPROB_ReleaseDiskChangeHandler_CPSX	F	COPYPROB	AMIGA.H:378	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0573_COPYPROB_DiskChangeHandler_CPSX	F	COPYPROB	AMIGA.H:379	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F0917_PRIM_15_Memory_Allocate	F	PRIM	PRIM.H:279	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0918_PRIM_16_Memory_Free	F	PRIM	PRIM.H:280	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0919_PRIM_19_File_Seek	F	PRIM	PRIM.H:281	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0922_Custom_strcpy	F	Custom	PRIM1.C:105	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0925_CheckUtilityDiskInDrive	F	CheckUtilityDiskInDrive	PRIM1.C:143	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0926_FLOPPY_ForceMediaChangeDetection	F	FLOPPY	PRIM1.C:282	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0927_PrintLoaderError	F	PrintLoaderError	PRIM.H:285	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0928_PrintOSError	F	PrintOSError	PRIM.H:286	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0929_PRIM_05_FTL_Load	F	PRIM	PRIM.H:273	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0931_ChecksumWords	F	ChecksumWords	PRIM.H:289	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0932_ChecksumBytes	F	ChecksumBytes	PRIM.H:290	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0933_GetHexStringFromValue	F	GetHexStringFromValue	PRIM.H:291	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F0934_ConvertValueToHexDigits	F	ConvertValueToHexDigits	PRIM.H:274	MISSING	PRIM	MISSING	-	PRIM library behavior has no source-backed portable contract in the callable audit; do not equate it with libc or a loader shim.
F1053_Pre_F0380_COMMAND_ProcessQueue_CPSC	F	Pre	AMIGA.H:400	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F1055_Post_F0380_COMMAND_ProcessQueue_CPSC	F	Post	AMIGA.H:401	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F1065_SetExecBase	F	SetExecBase	AMIGALIB.C:838	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F1067_InitAmigaStuff	F	InitAmigaStuff	AMIGA.H:406	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F1101_DetectDiskChange	F	DetectDiskChange	AMIGA.H:398	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F1106_IsTrackdiskDeviceOpened	F	IsTrackdiskDeviceOpened	FIO1.C:737	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1107_GetDiskChangeCounter	F	GetDiskChangeCounter	FIO1.C:22	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1108_GetDiskChangeCounter	F	GetDiskChangeCounter	AMIGA.H:405	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F1109_GetDiskState	F	GetDiskState	FIO1.C:970	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1110_DrawFormatProgressBar	F	DrawFormatProgressBar	AMIGA.H:399	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F1140_InitializeColorPaletteFullBlack	F	InitializeColorPaletteFullBlack	AMIGAVID.C:32	MISSING	Amiga-host	MISSING	-	Amiga host-facing behavior lacks a source-backed portable contract; no runtime equivalent is claimed.
F1141_EnablePlayfieldDisplayAndCopper	F	EnablePlayfieldDisplayAndCopper	AMIGAVID.C:50	MISSING	Amiga-host	NON_APPLICABLE	-	Original Amiga device, interrupt, or display-host boundary; no portable runtime substitute is evidenced.
F1159_Empty	F	Empty	USIOMAIN.C:12	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1160_USIO_04_Empty	F	USIO	USIO1.C:29	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1161_USIO_05_Empty	F	USIO	USIO1.C:36	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1162_USIO_06_HidePointer	F	USIO	USIO1.C:43	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1163_USIO_07_ShowPointer	F	USIO	USIO1.C:61	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1164_USIO_15_GetFirstQueuedUsioDataType	F	USIO	USIO2.C:41	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1165_USIO_17_WaitUntilKeyboardOrMouseInput	F	USIO	USIO2.C:60	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1166_USIO_16_ExtractFirstUsioDataFromQueue	F	USIO	USIO2.C:75	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1167_USIO_14_GetMouseStatus	F	USIO	USIO2.C:89	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1168_USIO_18_Empty	F	USIO	USIO2.C:116	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1170_USIO_03_Expunge	F	USIO	USIO2.C:176	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1171_USIO_19_LockDF0	F	USIO	USIO2.C:205	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1172_QueueMouseAndKeyboardInput	F	QueueMouseAndKeyboardInput	USIO2.C:13	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1173_AddUsioDataToInputQueue	F	AddUsioDataToInputQueue	USIO1.C:177	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1174_AddPendingUsioDataToInputQueue	F	AddPendingUsioDataToInputQueue	USIO2.C:264	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1175_GetFirstQueuedUsioDataIndex	F	GetFirstQueuedUsioDataIndex	USIO2.C:51	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1176_ExtractFirstUsioDataFromQueue	F	ExtractFirstUsioDataFromQueue	USIO2.C:69	MISSING	USIO	MISSING	-	Input queue and pointer behavior need exact source ordering and host-input evidence before a portable shim is admissible.
F1305_OpenFTLLibrary	F	OpenFTLLibrary	FIO1MAIN.C:34	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1306_Unreferenced	F	Unreferenced	FIO1MAIN.C:75	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1307_FIO1_03_Expunge	F	FIO1	FIO1MAIN.C:31	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1316_InitializeLibrary	F	InitializeLibrary	FIO1.C:54	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1317_UninitializeLibrary	F	UninitializeLibrary	FIO1.C:61	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1318_FIO1_29_	F	FIO1	FIO1.C:69	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1319_FIO1_28_	F	FIO1	FIO1.C:95	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1320_FIO1_27_	F	FIO1	FIO1.C:113	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1321_FIO1_07_SubstituteStringInFileName	F	FIO1	FIO1.C:125	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Caller-owned bounded path substitution; no filesystem lookup or media state is synthesized.
F1322_FIO1_26_	F	FIO1	FIO1.C:145	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1323_FIO1_25_	F	FIO1	FIO1.C:166	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Caller-owned enumeration callback normalizes unavailable enumeration to source success with zero entries; Amiga Lock/Examine is excluded.
F1324_FIO1_24_	F	FIO1	FIO1.C:247	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1325_FIO1_04_IsDiskWriteable	F	FIO1	FIO1.C:267	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1326_FIO1_05_FormatSaveDisk	F	FIO1	FIO1.C:285	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1327_FIO1_23_	F	FIO1	FIO1.C:50	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1328_FIO1_22_	F	FIO1	FIO1.C:362	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Closed-file probe uses F0770/F0771 callbacks; invalid state is C03 and failed/open state is C17.
F1329_FIO1_21_Open	F	FIO1	FIO1.C:384	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0770 callback handle open; floppy insertion remains excluded.
F1330_FIO1_20_Create	F	FIO1	FIO1.C:417	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0776 callback handle create; write-protection and floppy routes remain excluded.
F1331_FIO1_19_Close	F	FIO1	FIO1.C:453	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0771 close and caller-owned open-state transition; no Amiga Delay route is claimed.
F1332_FIO1_18_GetSize	F	FIO1	FIO1.C:479	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0775 size query and mark restoration over caller-owned callback handles.
F1333_FIO1_17_Tell	F	FIO1	FIO1.C:506	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0779 tell query over caller-owned callback handles.
F1334_FIO1_16_Seek	F	FIO1	FIO1.C:531	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0774 absolute seek over caller-owned callback handles.
F1335_FIO1_15_Read	F	FIO1	FIO1.C:560	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0772 chunked read; bytes remain callback-owned and no media is fabricated.
F1336_FIO1_14_Write	F	FIO1	FIO1.C:592	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable F0773 chunked write; floppy lock and write-protection resolution remain excluded.
F1337_FIO1_13_Lock	F	FIO1	FIO1.C:634	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1338_FIO1_12_Delete	F	FIO1	FIO1.C:668	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable caller-owned delete callback; write-protection media route remains excluded.
F1339_FIO1_11_Rename	F	FIO1	FIO1.C:697	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable caller-owned rename callback; write-protection media route remains excluded.
F1340_FIO1_09_	F	FIO1	FIO1.C:728	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1341_FIO1_10_	F	FIO1	FIO1.C:745	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable caller-owned file-open predicate with no host-media lookup.
F1342_FIO1_08_	F	FIO1	FIO1.C:762	MAPPED	FIO-portable	PORTABLE_CALLBACK_CONTRACT	include/redmcsb_fio1_file_handle_pc34_compat.h; src/shared/redmcsb_fio1_file_handle_pc34_compat.c	Portable caller-owned wildcard substitution; no filesystem lookup or media state is synthesized.
F1343_FIO1_06_	F	FIO1	FIO1.C:791	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1344_UninitializeData	F	UninitializeData	FIO1.C:26	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1345_InitializeData	F	InitializeData	FIO1.C:27	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1348_IsFloppyDiskInDrive	F	IsFloppyDiskInDrive	FIO1.C:329	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1349_IsDiskWriteProtected	F	IsDiskWriteProtected	FIO1.C:278	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1362_IsFloppyDriveEmpty	F	IsFloppyDriveEmpty	FIO1.C:21	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1363_IsFloppyDiskWriteProtected	F	IsFloppyDiskWriteProtected	FIO1.C:24	MISSING	FIO	MISSING	-	File or console behavior is source-named but has no verified Firestaff contract for handle, error, media, or path semantics.
F1534_CallAES	F	CallAES	ATARIST.H:376	MISSING	AES	NON_APPLICABLE	-	GEM AES trap ABI; Firestaff must use its host UI route rather than emulate the Atari application environment.
F1535_AES_appl_init	F	AES	UTSTAES.C:169	MISSING	AES	NON_APPLICABLE	-	GEM AES trap ABI; Firestaff must use its host UI route rather than emulate the Atari application environment.
F1536_AES_appl_exit	F	AES	UTSTAES.C:187	MISSING	AES	NON_APPLICABLE	-	GEM AES trap ABI; Firestaff must use its host UI route rather than emulate the Atari application environment.
F1537_AES_appl_write	F	AES	UTSTAES.C:194	MISSING	AES	NON_APPLICABLE	-	GEM AES trap ABI; Firestaff must use its host UI route rather than emulate the Atari application environment.
